state_abbr,geo_fips,geo_level,geo_name,metric_name,group_name,num,denom,est,lci,uci,data_period,period_type,source_name,data_indicator,agg_indicator,version,suggested_citation
AK,02,state,Alaska,Diabetes,Total,-999.0,-999.0,7.3,6.3,8.3,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,"Department of Population Health, NYU Langone Health. Congressional District Health Dashboard. https://congressionaldistricthealthdashboard.org. Accessed 2026-04-07"
AL,01,state,Alabama,Diabetes,Total,-999.0,-999.0,14.0,13.2,14.8,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
AR,05,state,Arkansas,Diabetes,Total,-999.0,-999.0,13.6,12.7,14.6,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
AZ,04,state,Arizona,Diabetes,Total,-999.0,-999.0,10.9,10.1,11.8,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
CA,06,state,California,Diabetes,Total,-999.0,-999.0,10.1,9.5,10.7,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
CO,08,state,Colorado,Diabetes,Total,-999.0,-999.0,7.0,6.5,7.5,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
CT,09,state,Connecticut,Diabetes,Total,-999.0,-999.0,9.6,8.9,10.2,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
DC,11,state,District of Columbia,Diabetes,Total,-999.0,-999.0,8.7,7.7,9.6,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
DE,10,state,Delaware,Diabetes,Total,-999.0,-999.0,12.8,11.6,13.9,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
FL,12,state,Florida,Diabetes,Total,-999.0,-999.0,11.7,10.9,12.5,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
GA,13,state,Georgia,Diabetes,Total,-999.0,-999.0,12.0,11.1,12.8,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
HI,15,state,Hawaii,Diabetes,Total,-999.0,-999.0,10.5,9.8,11.2,2019,1 year estimate,Behavioral Risk Factor Surveillance System,,,02-26-2025,
